item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at,matched_weight_lbs,weight_match_found
TH70-20BK4AR2B,CAR HAULER,2,TH70,7000,Wood,20,7.0,3,1.5,23,2026-05-12T14:11:41Z,2230,Y
14PH-20,"DECK-OVER, TAG-ALONG",3,14PH,15900,Wood,20,8.0,6,2.5,26,2026-05-12T14:11:41Z,3680,Y
14PH-20+5,"DECK-OVER, TAG-ALONG",,14PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,4580,Y
14PH-20BK+5,"DECK-OVER, TAG-ALONG",,14PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,4580,Y
14PH-20BK+5MR,"DECK-OVER, TAG-ALONG",,14PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,4580,Y
14PH-25,"DECK-OVER, TAG-ALONG",4,14PH,15900,Wood,25,8.0,6,2.5,31,2026-05-12T14:11:41Z,4180,Y
14PH-25+5,"DECK-OVER, TAG-ALONG",,14PH,,,30,,6,2.5,36,2026-05-12T14:11:41Z,5080,Y
14PH-25BK+5MR,"DECK-OVER, TAG-ALONG",,14PH,,,30,,6,2.5,36,2026-05-12T14:11:41Z,5080,Y
14PH-30,"DECK-OVER, TAG-ALONG",3,14PH,15900,Wood,30,8.0,6,2.5,36,2026-05-12T14:11:41Z,4680,Y
16PH-20+5,"DECK-OVER, TAG-ALONG",,16PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,5070,Y
22PH-20+5,"DECK-OVER, TAG-ALONG",,22PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,5600,Y
22PH-20BK+5,"DECK-OVER, TAG-ALONG",,22PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,5600,Y
22PH-20BK+5MR,"DECK-OVER, TAG-ALONG",,22PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,5600,Y
22PH-25,"DECK-OVER, TAG-ALONG",3,22PH,23900,Wood,25,8.0,6,2.5,31,2026-05-12T14:11:41Z,5260,Y
22PH-25+5,"DECK-OVER, TAG-ALONG",,22PH,,,30,,6,2.5,36,2026-05-12T14:11:41Z,6100,Y
22PH-25BK+5MR,"DECK-OVER, TAG-ALONG",,22PH,,,30,,6,2.5,36,2026-05-12T14:11:41Z,6100,Y
25PH-20+5,"DECK-OVER, TAG-ALONG",,25PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,5800,Y
25PH-20BK+5,"DECK-OVER, TAG-ALONG",,25PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,5800,Y
25PH-20BK+5MR,"DECK-OVER, TAG-ALONG",,25PH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,5800,Y
