item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at,matched_weight_lbs,weight_match_found
14ET-16BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,16,7.0,4,2,20,2026-05-12T14:11:41Z,,N
14ET-16KR,EQUIPMENT HAULER,4,14ET,14000,Wood,16,7.0,4,2,20,2026-05-12T14:11:41Z,,N
14ET-18,EQUIPMENT HAULER,4,14ET,14000,Wood,18,7.0,4,2,22,2026-05-12T14:11:41Z,2740,Y
14ET-18BK,EQUIPMENT HAULER,4,14ET,14000,Wood,18,7.0,4,2,22,2026-05-12T14:11:41Z,,N
14ET-18BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,18,7.0,4,2,22,2026-05-12T14:11:41Z,,N
14ET-18BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,18,7.0,4,2,22,2026-05-12T14:11:41Z,,N
14ET-18BK5RSR,EQUIPMENT HAULER,4,14ET,14000,Wood,18,7.0,4,2,22,2026-05-12T14:11:41Z,2740,Y
14ET-20,EQUIPMENT HAULER,4,14ET,14000,Wood,20,7.0,4,2,24,2026-05-12T14:11:41Z,,N
14ET-20BK,EQUIPMENT HAULER,4,14ET,14000,Wood,20,7.0,4,2,24,2026-05-12T14:11:41Z,,N
14ET-20BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,20,7.0,4,2,24,2026-05-12T14:11:41Z,,N
14ET-20BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,20,7.0,4,2,24,2026-05-12T14:11:41Z,,N
14ET-20BK5RSR,EQUIPMENT HAULER,4,14ET,14000,Wood,20,7.0,4,2,24,2026-05-12T14:11:41Z,2940,Y
14ET-20MR,EQUIPMENT HAULER,4,14ET,14000,Wood,20,7.0,4,2,24,2026-05-12T14:11:41Z,,N
14ET-22,EQUIPMENT HAULER,4,14ET,14000,Wood,22,7.0,4,2,26,2026-05-12T14:11:41Z,,N
14ET-22BK,EQUIPMENT HAULER,4,14ET,14000,Wood,22,7.0,4,2,26,2026-05-12T14:11:41Z,,N
14ET-22BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,22,7.0,4,2,26,2026-05-12T14:11:41Z,,N
14ET-22BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,22,7.0,4,2,26,2026-05-12T14:11:41Z,,N
14ET-22KR,EQUIPMENT HAULER,4,14ET,14000,Wood,22,7.0,4,2,26,2026-05-12T14:11:41Z,,N
14ET-22MR,EQUIPMENT HAULER,4,14ET,14000,Wood,22,7.0,4,2,26,2026-05-12T14:11:41Z,,N
14ET-24,EQUIPMENT HAULER,4,14ET,14000,Wood,24,7.0,4,2,28,2026-05-12T14:11:41Z,,N
14ET-24BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,24,7.0,4,2,28,2026-05-12T14:11:41Z,,N
14ET-24BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,24,7.0,4,2,28,2026-05-12T14:11:41Z,,N
14ET-24MR,EQUIPMENT HAULER,4,14ET,14000,Wood,24,7.0,4,2,28,2026-05-12T14:11:41Z,,N
14OA-16STA,EQUIPMENT HAULER,3,14OA,15400,Wood,16,8.0,6,2.5,22,2026-05-12T14:11:41Z,3250,Y
14OA-16STA-S8BK,EQUIPMENT HAULER,3,14OA,15400,Wood,16,8.0,6,2.5,22,2026-05-12T14:11:41Z,3250,Y
14OA-18STA-S8BK,EQUIPMENT HAULER,3,14OA,15400,Wood,18,8.0,6,2.5,24,2026-05-12T14:11:41Z,3450,Y
14OA-20D3A-FRBK,EQUIPMENT HAULER,3,14OA,15400,Wood,20,8.0,6,2.5,26,2026-05-12T14:11:41Z,3680,Y
14OA-20STA,EQUIPMENT HAULER,3,14OA,15400,Wood,20,8.0,6,2.5,26,2026-05-12T14:11:41Z,3650,Y
14OA-20STA-S8BK,EQUIPMENT HAULER,1,14OA,15400,Wood,20,8.0,6,2.5,26,2026-05-12T14:11:41Z,3650,Y
14OA-22D3A-FRBK,EQUIPMENT HAULER,3,14OA,15400,Wood,22,8.0,6,2.5,28,2026-05-12T14:11:41Z,3890,Y
14OA-22STA,EQUIPMENT HAULER,3,14OA,15400,Wood,22,8.0,6,2.5,28,2026-05-12T14:11:41Z,3850,Y
14OA-22STA-S8BK,EQUIPMENT HAULER,3,14OA,15400,Wood,22,8.0,6,2.5,28,2026-05-12T14:11:41Z,3850,Y
14OA-24D3A,EQUIPMENT HAULER,3,14OA,15400,Wood,24,8.0,6,2.5,30,2026-05-12T14:11:41Z,4180,Y
14OA-24D3A-FRBK,EQUIPMENT HAULER,3,14OA,15400,Wood,24,8.0,6,2.5,30,2026-05-12T14:11:41Z,4180,Y
14OA-24STA-S8BK,EQUIPMENT HAULER,3,14OA,15400,Wood,24,8.0,6,2.5,30,2026-05-12T14:11:41Z,4050,Y
14OE-18STA-S8BK,EQUIPMENT HAULER,3,14OE,14000,Wood,18,8.0,6,2.5,24,2026-05-12T14:11:41Z,3160,Y
14OE-20STA-S8BK,EQUIPMENT HAULER,1,14OE,14000,Wood,20,8.0,6,2.5,26,2026-05-12T14:11:41Z,3360,Y
14OE-22STA-S8BK,EQUIPMENT HAULER,3,14OE,14000,Wood,22,8.0,6,2.5,28,2026-05-12T14:11:41Z,3600,Y
16EH-18D3A,EQUIPMENT HAULER,3,16EH,17600,Wood,18,7.0,6,2,24,2026-05-12T14:11:41Z,3190,Y
16EH-18D3A-KRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,18,7.0,6,2,24,2026-05-12T14:11:41Z,3190,Y
16EH-18D3A-MRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,18,7.0,6,2,24,2026-05-12T14:11:41Z,3390,Y
16EH-20D3A,EQUIPMENT HAULER,3,16EH,17600,Wood,20,7.0,6,2,26,2026-05-12T14:11:41Z,3320,Y
16EH-20D3A-KRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,20,7.0,6,2,26,2026-05-12T14:11:41Z,3200,Y
16EH-20D3A-MRBK,EQUIPMENT HAULER,2,16EH,17600,Wood,20,7.0,6,2,26,2026-05-12T14:11:41Z,3400,Y
16EH-22D3A,EQUIPMENT HAULER,3,16EH,17600,Wood,22,7.0,6,2,28,2026-05-12T14:11:41Z,3480,Y
16EH-22D3A-KRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,22,7.0,6,2,28,2026-05-12T14:11:41Z,3480,Y
16EH-22D3A-MRBK,EQUIPMENT HAULER,1,16EH,17600,Wood,22,7.0,6,2,28,2026-05-12T14:11:41Z,3680,Y
16EH-24D3A,EQUIPMENT HAULER,3,16EH,17600,Wood,24,7.0,6,2,30,2026-05-12T14:11:41Z,3650,Y
16EH-24D3A-KRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,24,7.0,6,2,30,2026-05-12T14:11:41Z,3650,Y
16EH-24D3A-MRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,24,7.0,6,2,30,2026-05-12T14:11:41Z,3850,Y
16EHG-20D3A,EQUIPMENT HAULER,3,16EHG,19200,Wood,20,7.0,9,2.5,29,2026-05-12T14:11:41Z,3700,Y
16EHG-22D3A,EQUIPMENT HAULER,3,16EHG,19200,Wood,22,7.0,9,2.5,31,2026-05-12T14:11:41Z,3860,Y
16EHG-24D3A,EQUIPMENT HAULER,3,16EHG,19200,Wood,24,7.0,9,2.5,33,2026-05-12T14:11:41Z,4040,Y
16OA-16STA-S8BK,EQUIPMENT HAULER,3,16OA,17500,Wood,16,8.0,6,2.5,22,2026-05-12T14:11:41Z,3850,Y
16OA-20STA,EQUIPMENT HAULER,3,16OA,17500,Wood,20,8.0,6,2.5,26,2026-05-12T14:11:41Z,4070,Y
16OA-20STA-S8BK,EQUIPMENT HAULER,2,16OA,17500,Wood,20,8.0,6,2.5,26,2026-05-12T14:11:41Z,4070,Y
16OA-22STA-S8BK,EQUIPMENT HAULER,3,16OA,17500,Wood,22,8.0,6,2.5,28,2026-05-12T14:11:41Z,4270,Y
16OA-24D3A-FRBK,EQUIPMENT HAULER,3,16OA,17500,Wood,24,8.0,6,2.5,30,2026-05-12T14:11:41Z,4600,Y
16OA-24STA-S8BK,EQUIPMENT HAULER,3,16OA,17500,Wood,24,8.0,6,2.5,30,2026-05-12T14:11:41Z,4470,Y
EQ14-17+3,EQUIPMENT HAULER,,EQ14,,,20,,5,2,25,2026-05-12T14:11:41Z,3060,Y
EQ16-17+3,EQUIPMENT HAULER,,EQ16,,,20,,5,2,25,2026-05-12T14:11:41Z,3710,Y
14GN-20STA,FLATBED GOOSENECK,3,14GN,15900,Wood,20,8.0,9,2.5,29,2026-05-12T14:11:41Z,4430,Y
14GN-22STA,FLATBED GOOSENECK,3,14GN,15900,Wood,22,8.0,9,2.5,31,2026-05-12T14:11:41Z,4680,Y
14GN-25D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5310,Y
14GN-25D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,4850,Y
14GN-25D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5310,Y
14GN-25STA,FLATBED GOOSENECK,3,14GN,15900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5050,Y
14GN-27D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,27,8.0,9,2.5,36,2026-05-12T14:11:41Z,5630,Y
14GN-27D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,27,8.0,9,2.5,36,2026-05-12T14:11:41Z,5170,Y
14GN-27D5A-MRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,27,8.0,9,2.5,36,2026-05-12T14:11:41Z,5630,Y
14GN-28STA,FLATBED GOOSENECK,3,14GN,15900,Wood,28,8.0,9,2.5,37,2026-05-12T14:11:41Z,5430,Y
14GN-30D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,6000,Y
14GN-30D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,5540,Y
14GN-30D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,6000,Y
14GN-30STA,FLATBED GOOSENECK,3,14GN,15900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,5680,Y
14GN-33D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,6500,Y
14GN-33D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,5910,Y
14GN-33D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,6500,Y
14GN-35D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,6620,Y
14GN-35D5A-MRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,6620,Y
14GN-35STA,FLATBED GOOSENECK,3,14GN,15900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,6300,Y
14GN-40D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,6555,Y
14GN-40D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,7190,Y
14GN-40STA,FLATBED GOOSENECK,3,14GN,15900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,6760,Y
14GN-40STA-S8BK,FLATBED GOOSENECK,3,14GN,15900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,7000,Y
16GN-20STA,FLATBED GOOSENECK,3,16GN,17500,Wood,20,8.0,9,2.5,29,2026-05-12T14:11:41Z,4707,Y
16GN-22STA,FLATBED GOOSENECK,3,16GN,17500,Wood,22,8.0,9,2.5,31,2026-05-12T14:11:41Z,4879,Y
16GN-25D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5540,Y
16GN-25D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5080,Y
16GN-25D5A-MRBK,FLATBED GOOSENECK,2,16GN,17500,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5540,Y
16GN-25STA,FLATBED GOOSENECK,3,16GN,17500,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5181,Y
16GN-27D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,27,8.0,9,2.5,36,2026-05-12T14:11:41Z,6144,Y
16GN-28STA,FLATBED GOOSENECK,3,16GN,17500,Wood,28,8.0,9,2.5,37,2026-05-12T14:11:41Z,5700,Y
16GN-30D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,6170,Y
16GN-30D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,5710,Y
16GN-30D5A-MRBK,FLATBED GOOSENECK,2,16GN,17500,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,6170,Y
16GN-30STA,FLATBED GOOSENECK,3,16GN,17500,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,5626,Y
16GN-33D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,6570,Y
16GN-33D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,6080,Y
16GN-33D5A-MRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,6570,Y
16GN-35D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,6790,Y
16GN-35D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,6330,Y
16GN-35D5A-MRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,6790,Y
16GN-35STA,FLATBED GOOSENECK,3,16GN,17500,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,6072,Y
16GN-40D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,7380,Y
16GN-40D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,6950,Y
16GN-40D5A-MRBK,FLATBED GOOSENECK,1,16GN,17500,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,7380,Y
16GN-40STA,FLATBED GOOSENECK,3,16GN,17500,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,6920,Y
16GN-40STA-S8BK,FLATBED GOOSENECK,3,16GN,17500,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,7220,Y
22GN-20STA,FLATBED GOOSENECK,3,22GN,23900,Wood,20,8.0,9,2.5,29,2026-05-12T14:11:41Z,5240,Y
22GN-25D5A,FLATBED GOOSENECK,3,22GN,23900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,6690,Y
22GN-25D5A-FRBK,FLATBED GOOSENECK,3,22GN,23900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5970,Y
22GN-25D5A-MRBK,FLATBED GOOSENECK,1,22GN,23900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,6690,Y
22GN-25STA,FLATBED GOOSENECK,3,22GN,23900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5900,Y
22GN-28STA,FLATBED GOOSENECK,3,22GN,23900,Wood,28,8.0,9,2.5,37,2026-05-12T14:11:41Z,6300,Y
22GN-30D5A,FLATBED GOOSENECK,3,22GN,23900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,7460,Y
22GN-30D5A-FRBK,FLATBED GOOSENECK,3,22GN,23900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,6630,Y
22GN-30D5A-MRBK,FLATBED GOOSENECK,1,22GN,23900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,7460,Y
22GN-30STA,FLATBED GOOSENECK,3,22GN,23900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,6570,Y
22GN-33D5A,FLATBED GOOSENECK,3,22GN,23900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,7920,Y
22GN-33D5A-FRBK,FLATBED GOOSENECK,3,22GN,23900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,7090,Y
22GN-33D5A-MRBK,FLATBED GOOSENECK,1,22GN,23900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,7920,Y
22GN-33STA,FLATBED GOOSENECK,3,22GN,23900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,6970,Y
22GN-35BK-HDTS,FLATBED GOOSENECK,4,22GN,23900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,7950,Y
22GN-35D5A,FLATBED GOOSENECK,3,22GN,23900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,8130,Y
22GN-35D5A-FRBK,FLATBED GOOSENECK,3,22GN,23900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,7300,Y
22GN-35D5A-MRBK,FLATBED GOOSENECK,1,22GN,23900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,8130,Y
22GN-35STA,FLATBED GOOSENECK,3,22GN,23900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,7240,Y
22GN-36STA,FLATBED GOOSENECK,3,22GN,23900,Wood,36,8.0,9,2.5,45,2026-05-12T14:11:41Z,7370,Y
22GN-40D5A,FLATBED GOOSENECK,3,22GN,23900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8790,Y
22GN-40D5A-FRBK,FLATBED GOOSENECK,3,22GN,23900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,7970,Y
22GN-40D5A-MRBK,FLATBED GOOSENECK,1,22GN,23900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8790,Y
22GN-40STA,FLATBED GOOSENECK,3,22GN,23900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8420,Y
22GN-40STA-S8BK,FLATBED GOOSENECK,2,22GN,23900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8200,Y
22GN-40STA-XRBK,FLATBED GOOSENECK,3,22GN,23900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,7910,Y
25GN-20STA,FLATBED GOOSENECK,3,25GN,25900,Wood,20,8.0,9,2.5,29,2026-05-12T14:11:41Z,5320,Y
25GN-25D5A,FLATBED GOOSENECK,3,25GN,25900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,6880,Y
25GN-25D5A-FRBK,FLATBED GOOSENECK,3,25GN,25900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,6050,Y
25GN-25D5A-MRBK,FLATBED GOOSENECK,2,25GN,25900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,6880,Y
25GN-25STA,FLATBED GOOSENECK,3,25GN,25900,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,5990,Y
25GN-30D5A,FLATBED GOOSENECK,3,25GN,25900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,7550,Y
25GN-30D5A-FRBK,FLATBED GOOSENECK,3,25GN,25900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,6720,Y
25GN-30D5A-MRBK,FLATBED GOOSENECK,1,25GN,25900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,7550,Y
25GN-30STA,FLATBED GOOSENECK,3,25GN,25900,Wood,30,8.0,9,2.5,39,2026-05-12T14:11:41Z,6660,Y
25GN-33D5A,FLATBED GOOSENECK,3,25GN,25900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,8110,Y
25GN-33D5A-FRBK,FLATBED GOOSENECK,3,25GN,25900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,7120,Y
25GN-33D5A-MRBK,FLATBED GOOSENECK,1,25GN,25900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,8110,Y
25GN-33STA,FLATBED GOOSENECK,3,25GN,25900,Wood,33,8.0,9,2.5,42,2026-05-12T14:11:41Z,7060,Y
25GN-35D5A,FLATBED GOOSENECK,3,25GN,25900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,8210,Y
25GN-35D5A-FRBK,FLATBED GOOSENECK,3,25GN,25900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,7390,Y
25GN-35D5A-MRBK,FLATBED GOOSENECK,2,25GN,25900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,8210,Y
25GN-35STA,FLATBED GOOSENECK,3,25GN,25900,Wood,35,8.0,9,2.5,44,2026-05-12T14:11:41Z,7320,Y
25GN-36STA,FLATBED GOOSENECK,3,25GN,25900,Wood,36,8.0,9,2.5,45,2026-05-12T14:11:41Z,7460,Y
25GN-40D5A,FLATBED GOOSENECK,3,25GN,25900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8770,Y
25GN-40D5A-FRBK,FLATBED GOOSENECK,3,25GN,25900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8050,Y
25GN-40D5A-MRBK,FLATBED GOOSENECK,1,25GN,25900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8770,Y
25GN-40D5A-MRBKEHD,FLATBED GOOSENECK,3,25GN,25900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8950,Y
25GN-40STA,FLATBED GOOSENECK,3,25GN,25900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8450,Y
25GN-40STA-S8BK,FLATBED GOOSENECK,3,25GN,25900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,8290,Y
25GN-40STA-XRBK,FLATBED GOOSENECK,3,25GN,25900,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,7990,Y
3XGN-20,FLATBED GOOSENECK,3,3XGN,30000,Wood,20,8.0,9,2.5,29,2026-05-12T14:11:41Z,6080,Y
3XGN-20+5,FLATBED GOOSENECK,,3XGN,,,25,,9,2.5,34,2026-05-12T14:11:41Z,6980,Y
3XGN-25,FLATBED GOOSENECK,3,3XGN,30000,Wood,25,8.0,9,2.5,34,2026-05-12T14:11:41Z,7140,Y
3XGN-25+5,FLATBED GOOSENECK,,3XGN,,,30,,9,2.5,39,2026-05-12T14:11:41Z,8440,Y
3XGN-25BK+5-MR,FLATBED GOOSENECK,,3XGN,,,30,,9,2.5,39,2026-05-12T14:11:41Z,8790,Y
3XGN-28+5,FLATBED GOOSENECK,,3XGN,,,33,,9,2.5,42,2026-05-12T14:11:41Z,9140,Y
3XGN-30+5,FLATBED GOOSENECK,,3XGN,,,35,,9,2.5,44,2026-05-12T14:11:41Z,9800,Y
3XGN-35+5,FLATBED GOOSENECK,,3XGN,,,40,,9,2.5,49,2026-05-12T14:11:41Z,10200,Y
3XGN-36,FLATBED GOOSENECK,3,3XGN,30000,Wood,36,8.0,9,2.5,45,2026-05-12T14:11:41Z,9290,Y
3XGN-40,FLATBED GOOSENECK,3,3XGN,30000,Wood,40,8.0,9,2.5,49,2026-05-12T14:11:41Z,10370,Y
5XPH-24+5,FLATBED GOOSENECK,,5XPH,,,28,,6,2.5,34,2026-05-12T14:11:41Z,10350,Y
30SA-08,SINGLE AXLE,3,30SA,2995,Wood,8,5.0,3,2,11,2026-05-12T14:11:41Z,663,Y
30SA-08R1A-4PBK,SINGLE AXLE,1,30SA,2995,Wood,8,5.0,3,2,11,2026-05-12T14:11:41Z,710,Y
30SA-10,SINGLE AXLE,3,30SA,2995,Wood,10,5.0,3,2,13,2026-05-12T14:11:41Z,723,Y
30SA-10R1A-4PBK,SINGLE AXLE,1,30SA,2995,Wood,10,5.0,3,2,13,2026-05-12T14:11:41Z,800,Y
35SA-10,SINGLE AXLE,3,35SA,2995,Wood,10,6.5,3,2,13,2026-05-12T14:11:41Z,893,Y
35SA-10R1A-4PBK,SINGLE AXLE,1,35SA,2995,Wood,10,6.5,3,2,13,2026-05-12T14:11:41Z,988,Y
35SA-12,SINGLE AXLE,3,35SA,2995,Wood,12,6.5,3,2,15,2026-05-12T14:11:41Z,983,Y
35SA-12R1A-4PBK,SINGLE AXLE,1,35SA,2995,Wood,12,6.5,3,2,15,2026-05-12T14:11:41Z,1078,Y
35SA-14R1A-4PBK,SINGLE AXLE,1,35SA,2995,Wood,14,6.5,3,2,17,2026-05-12T14:11:41Z,1168,Y
35SX-12,SINGLE AXLE,3,35SX,2995,Wood,12,7.0,3,2,15,2026-05-12T14:11:41Z,1003,Y
35SX-12R1A-4PBK,SINGLE AXLE,3,35SX,2995,Wood,12,7.0,3,2,15,2026-05-12T14:11:41Z,1003,Y
35SX-14,SINGLE AXLE,3,35SX,2995,Wood,14,7.0,3,2,17,2026-05-12T14:11:41Z,1093,Y
35SX-14R1A-4PBK,SINGLE AXLE,3,35SX,2995,Wood,14,7.0,3,2,17,2026-05-12T14:11:41Z,1093,Y
35UT-14,SINGLE AXLE,3,35UT,2995,Wood,14,7.0,3,2,17,2026-05-12T14:11:41Z,1380,Y
35UT-14BK,SINGLE AXLE,2,35UT,2995,Wood,14,7.0,3,2,17,2026-05-12T14:11:41Z,1380,Y
SU35-12BK4RG,SINGLE AXLE,2,SU35,2995,Wood,12,6.5,3,2,15,2026-05-12T14:11:41Z,1078,Y
SU35-14BK4RG,SINGLE AXLE,2,SU35,2995,Wood,14,6.5,3,2,17,2026-05-12T14:11:41Z,1168,Y
10PI-12,TANDEM AXLE,4,10PI,9990,Wood,12,7.0,3,2.5,15,2026-05-12T14:11:41Z,2140,Y
10PI-14,TANDEM AXLE,4,10PI,9990,Wood,14,7.0,3,2.5,17,2026-05-12T14:11:41Z,,N
10PI-16,TANDEM AXLE,3,10PI,9990,Wood,16,7.0,3,2.5,19,2026-05-12T14:11:41Z,2260,Y
10PI-16BK,TANDEM AXLE,3,10PI,9990,Wood,16,7.0,3,2.5,19,2026-05-12T14:11:41Z,2260,Y
10PI-16BK4HDIR,TANDEM AXLE,3,10PI,9990,Wood,16,7.0,3,2.5,19,2026-05-12T14:11:41Z,2360,Y
10PI-16BK5FUR,TANDEM AXLE,3,10PI,9990,Wood,16,7.0,3,2.5,19,2026-05-12T14:11:41Z,2310,Y
10PI-18,TANDEM AXLE,3,10PI,9990,Wood,18,7.0,3,2.5,21,2026-05-12T14:11:41Z,2320,Y
10PI-18BK,TANDEM AXLE,2,10PI,9990,Wood,18,7.0,3,2.5,21,2026-05-12T14:11:41Z,2320,Y
10PI-18BK4HDIR,TANDEM AXLE,3,10PI,9990,Wood,18,7.0,3,2.5,21,2026-05-12T14:11:41Z,2420,Y
10PI-18BK5FUR,TANDEM AXLE,3,10PI,9990,Wood,18,7.0,3,2.5,21,2026-05-12T14:11:41Z,2370,Y
10PI-20,TANDEM AXLE,3,10PI,9990,Wood,20,7.0,3,2.5,23,2026-05-12T14:11:41Z,2380,Y
