origin_plant,destination_state,rate_per_mile,effective_year,notes,created_at
OR,MD,1.98,2026,,2026-01-22T21:38:38
OR,ME,1.98,2026,,2026-01-22T21:38:38
OR,MI,1.95,2026,,2026-01-22T21:38:39
OR,MIN,1000.0,2026,,2026-01-22T21:38:51
OR,MN,2.05,2026,,2026-01-22T21:38:39
OR,MO,2.06,2026,,2026-01-22T21:38:39
OR,MS,1.9,2026,,2026-01-22T21:38:39
OR,MT,3.4,2026,,2026-01-22T21:38:40
OR,NC,1.9,2026,,2026-01-22T21:38:40
OR,ND,2.64,2026,,2026-01-22T21:38:40
OR,NE,2.05,2026,,2026-01-22T21:38:40
OR,NH,1.93,2026,,2026-01-22T21:38:41
OR,NJ,1.95,2026,,2026-01-22T21:38:41
OR,NM,2.68,2026,,2026-01-22T21:38:42
OR,NV,2.63,2026,,2026-01-22T21:38:42
OR,NY,1.9,2026,,2026-01-22T21:38:42
OR,NY ZIP 100,450.0,2026,,2026-01-22T21:38:51
OR,OH,1.95,2026,,2026-01-22T21:38:42
OR,OK,2.01,2026,,2026-01-22T21:38:42
OR,OR,5.75,2026,,2026-01-22T21:38:43
OR,PA,1.9,2026,,2026-01-22T21:38:43
OR,RI,1.97,2026,,2026-01-22T21:38:44
OR,SC,1.95,2026,,2026-01-22T21:38:44
OR,SD,2.36,2026,,2026-01-22T21:38:45
OR,STOP,55.0,2026,,2026-01-22T21:38:51
OR,TN,1.93,2026,,2026-01-22T21:38:47
OR,TONU,350.0,2026,,2026-01-22T21:38:51
OR,TX,1.89,2026,,2026-01-22T21:38:47
OR,UT,3.33,2026,,2026-01-22T21:38:48
OR,VA,2.08,2026,,2026-01-22T21:38:48
OR,VT,1.92,2026,,2026-01-22T21:38:48
OR,WA,4.26,2026,,2026-01-22T21:38:49
OR,WI,1.93,2026,,2026-01-22T21:38:50
OR,WV,1.94,2026,,2026-01-22T21:38:50
OR,WY,2.9,2026,,2026-01-22T21:38:50
TX,AL,2.15,2026,,2026-01-22T21:38:33
TX,AR,3.25,2026,,2026-01-22T21:38:34
TX,AZ,2.75,2026,,2026-01-22T21:38:34
TX,CA,2.35,2026,,2026-01-22T21:38:34
TX,CO,3.55,2026,,2026-01-22T21:38:35
TX,CT,2.25,2026,,2026-01-22T21:38:35
TX,DC,2.25,2026,,2026-01-22T21:38:35
TX,DE,2.35,2026,,2026-01-22T21:38:36
TX,DETENTION,0.0,2026,,2026-01-22T21:38:51
TX,FL,2.22,2026,,2026-01-22T21:38:36
TX,GA,2.6,2026,,2026-01-22T21:38:36
TX,IA,2.83,2026,,2026-01-22T21:38:36
TX,ID,2.4,2026,,2026-01-22T21:38:36
TX,IL,2.26,2026,,2026-01-22T21:38:37
TX,IN,2.36,2026,,2026-01-22T21:38:37
TX,KS,3.99,2026,,2026-01-22T21:38:37
TX,KY,2.38,2026,,2026-01-22T21:38:38
TX,LA,3.0,2026,,2026-01-22T21:38:38
TX,MA,2.25,2026,,2026-01-22T21:38:38
TX,MD,2.39,2026,,2026-01-22T21:38:38
TX,ME,2.22,2026,,2026-01-22T21:38:38
TX,MI,2.28,2026,,2026-01-22T21:38:39
TX,MIN,800.0,2026,,2026-01-22T21:38:51
TX,MN,2.7,2026,,2026-01-22T21:38:39
TX,MO,3.15,2026,,2026-01-22T21:38:39
TX,MS,2.2,2026,,2026-01-22T21:38:39
TX,MT,2.45,2026,,2026-01-22T21:38:40
TX,NC,2.25,2026,,2026-01-22T21:38:40
TX,ND,2.85,2026,,2026-01-22T21:38:40
TX,NE,2.7,2026,,2026-01-22T21:38:40
TX,NH,2.33,2026,,2026-01-22T21:38:41
TX,NJ,2.25,2026,,2026-01-22T21:38:41
TX,NM,3.45,2026,,2026-01-22T21:38:42
TX,NV,2.35,2026,,2026-01-22T21:38:42
TX,NY,2.32,2026,,2026-01-22T21:38:42
TX,NY ZIP 100,450.0,2026,,2026-01-22T21:38:51
TX,OH,2.19,2026,,2026-01-22T21:38:42
TX,OK,3.75,2026,,2026-01-22T21:38:42
TX,OR,2.26,2026,,2026-01-22T21:38:43
TX,PA,2.2,2026,,2026-01-22T21:38:43
TX,RI,2.1,2026,,2026-01-22T21:38:44
TX,SC,2.2,2026,,2026-01-22T21:38:44
TX,SD,2.76,2026,,2026-01-22T21:38:45
TX,STOP,55.0,2026,,2026-01-22T21:38:51
TX,TN,1.91,2026,,2026-01-22T21:38:47
TX,TONU,350.0,2026,,2026-01-22T21:38:51
TX,TX,3.75,2026,,2026-01-22T21:38:48
TX,UT,2.55,2026,,2026-01-22T21:38:48
TX,VA,2.09,2026,,2026-01-22T21:38:48
TX,VT,2.25,2026,,2026-01-22T21:38:48
TX,WA,2.2,2026,,2026-01-22T21:38:49
TX,WI,2.4,2026,,2026-01-22T21:38:50
TX,WV,2.0,2026,,2026-01-22T21:38:50
TX,WY,2.42,2026,,2026-01-22T21:38:50
VA,AL,2.02,2026,,2026-01-22T21:38:33
VA,AR,2.1,2026,,2026-01-22T21:38:34
VA,AZ,2.18,2026,,2026-01-22T21:38:34
VA,CA,1.99,2026,,2026-01-22T21:38:34
VA,CO,2.52,2026,,2026-01-22T21:38:35
VA,CT,3.99,2026,,2026-01-22T21:38:35
VA,DC,4.55,2026,,2026-01-22T21:38:36
VA,DE,4.69,2026,,2026-01-22T21:38:36
VA,DETENTION,0.0,2026,,2026-01-22T21:38:51
VA,FL,2.45,2026,,2026-01-22T21:38:36
VA,GA,2.32,2026,,2026-01-22T21:38:36
VA,IA,2.69,2026,,2026-01-22T21:38:36
VA,ID,2.38,2026,,2026-01-22T21:38:36
VA,IL,2.32,2026,,2026-01-22T21:38:37
VA,IN,2.3,2026,,2026-01-22T21:38:37
VA,KS,2.1,2026,,2026-01-22T21:38:37
VA,KY,2.49,2026,,2026-01-22T21:38:38
VA,LA,2.15,2026,,2026-01-22T21:38:38
VA,MA,4.25,2026,,2026-01-22T21:38:38
VA,MD,4.25,2026,,2026-01-22T21:38:38
VA,ME,3.88,2026,,2026-01-22T21:38:38
VA,MI,2.45,2026,,2026-01-22T21:38:39
VA,MIN,1000.0,2026,,2026-01-22T21:38:51
VA,MN,2.19,2026,,2026-01-22T21:38:39
VA,MO,2.2,2026,,2026-01-22T21:38:39
VA,MS,2.15,2026,,2026-01-22T21:38:39
VA,MT,2.75,2026,,2026-01-22T21:38:40
VA,NC,3.32,2026,,2026-01-22T21:38:40
VA,ND,2.25,2026,,2026-01-22T21:38:40
VA,NE,2.21,2026,,2026-01-22T21:38:40
VA,NH,4.25,2026,,2026-01-22T21:38:41
VA,NJ,4.2,2026,,2026-01-22T21:38:41
VA,NM,2.45,2026,,2026-01-22T21:38:42
VA,NV,2.38,2026,,2026-01-22T21:38:42
VA,NY,3.99,2026,,2026-01-22T21:38:42
VA,NY ZIP 100,450.0,2026,,2026-01-22T21:38:51
VA,OH,2.62,2026,,2026-01-22T21:38:42
VA,OK,2.15,2026,,2026-01-22T21:38:43
VA,OR,2.05,2026,,2026-01-22T21:38:43
VA,PA,3.25,2026,,2026-01-22T21:38:43
VA,RI,3.17,2026,,2026-01-22T21:38:44
VA,SC,2.7,2026,,2026-01-22T21:38:44
VA,SD,2.15,2026,,2026-01-22T21:38:45
VA,STOP,55.0,2026,,2026-01-22T21:38:51
VA,TN,2.35,2026,,2026-01-22T21:38:47
VA,TONU,350.0,2026,,2026-01-22T21:38:51
VA,TX,2.0,2026,,2026-01-22T21:38:48
VA,UT,2.25,2026,,2026-01-22T21:38:48
VA,VA,3.75,2026,,2026-01-22T21:38:48
VA,VT,4.6,2026,,2026-01-22T21:38:48
VA,WA,2.0,2026,,2026-01-22T21:38:49
VA,WI,2.1,2026,,2026-01-22T21:38:50
VA,WV,3.47,2026,,2026-01-22T21:38:50
VA,WY,2.42,2026,,2026-01-22T21:38:51
