item_number,model,pj_category,description,gvwr,bed_length_stated,bed_length_measured,tongue_group,tongue_feet,total_footprint,dump_side_height_ft,can_nest_inside_dump,gn_axle_droppable,tongue_overlap_allowed,pairing_rule,notes,updated_at
PLP34A2BSSK,PL,pintle,34’ Low-Pro Pintle with Duals,,34.0,34.0,pintle,4.0,38.0,,0,0,0,,,2026-04-02T15:06:11.555178
PLP35A2BSSK,PL,pintle,35’ Low-Pro Pintle with Duals,,35.0,35.0,pintle,4.0,39.0,,0,0,0,,,2026-04-02T15:06:11.555213
PLP36A2BSSK,PL,pintle,36’ Low-Pro Pintle with Duals,,36.0,36.0,pintle,4.0,40.0,,0,0,0,,,2026-04-02T15:06:11.555247
PLP38A2BSSK,PL,pintle,38’ Low-Pro Pintle with Duals,,38.0,38.0,pintle,4.0,42.0,,0,0,0,,,2026-04-02T15:06:11.555282
PLP40A2BSSK,PL,pintle,40’ Low-Pro Pintle with Duals,,40.0,40.0,pintle,4.0,44.0,,0,0,0,,,2026-04-02T15:06:11.555306
T1J1371BDTK,T1,tilt,13’ Single Axle HD Tilt,,13.0,13.0,c_channel,4.5,17.5,,0,0,0,,,2026-04-02T15:06:08.507672
T1J1671BDTK,T1,tilt,16’ Single Axle HD Tilt,,16.0,16.0,c_channel,4.5,20.5,,0,0,0,,,2026-04-02T15:06:08.507706
T6J1672BTTK,T6,tilt,16’x6” Channel Equipment Tilt,,16.0,16.0,c_channel,4.5,20.5,,0,0,0,,,2026-04-02T15:06:08.807194
T6J1872BTTK,T6,tilt,18’x6” Channel Equipment Tilt,,18.0,18.0,c_channel,4.5,22.5,,0,0,0,,,2026-04-02T15:06:08.807235
T6J2072BTTK,T6,tilt,20’x6” Channel Equipment Tilt,,20.0,20.0,c_channel,4.5,24.5,,0,0,0,,,2026-04-02T15:06:08.807261
T6J2272BTTK,T6,tilt,22’x6” Channel Equipment Tilt,,22.0,22.0,c_channel,4.5,26.5,,0,0,0,,,2026-04-02T15:06:08.807286
T6J2472BTTK,T6,tilt,24’x6” Channel Equipment Tilt,,24.0,24.0,c_channel,4.5,28.5,,0,0,0,,,2026-04-02T15:06:08.807310
T8J2272BSTK,T8,tilt,22’ Deckover Tilt,,22.0,22.0,c_channel,4.5,26.5,,0,0,0,,,2026-04-02T15:06:09.336949
T8J2472BSTK,T8,tilt,24’ Deckover Tilt,,24.0,24.0,c_channel,4.5,28.5,,0,0,0,,,2026-04-02T15:06:09.336986
T8J2672BSTK,T8,tilt,26’ Deckover Tilt,,26.0,26.0,c_channel,4.5,30.5,,0,0,0,,,2026-04-02T15:06:09.337010
T8J2872BSTK,T8,tilt,28’ Deckover Tilt,,28.0,28.0,c_channel,4.5,32.5,,0,0,0,,,2026-04-02T15:06:09.337035
T9R2472BSTK,T9,tilt,24’ HD Deckover Tilt,,24.0,24.0,c_channel,4.5,28.5,,0,0,0,,,2026-04-02T15:06:09.471505
T9R2672BSTK,T9,tilt,26’ HD Deckover Tilt,,26.0,26.0,c_channel,4.5,30.5,,0,0,0,,,2026-04-02T15:06:09.471536
T9R2872BSTK,T9,tilt,28’ HD Deckover Tilt,,28.0,28.0,c_channel,4.5,32.5,,0,0,0,,,2026-04-02T15:06:09.471560
T9R3072BSTK,T9,tilt,30’ HD Deckover Tilt,,30.0,30.0,c_channel,4.5,34.5,,0,0,0,,,2026-04-02T15:06:09.471584
TFJ1872BTTK,TF,tilt,18’ Powered Full Tilt,,18.0,18.0,c_channel,4.5,22.5,,0,0,0,,,2026-04-02T15:06:08.927823
TFJ2072BTTK,TF,tilt,20’ Powered Full Tilt,,20.0,20.0,c_channel,4.5,24.5,,0,0,0,,,2026-04-02T15:06:08.927877
TFJ2272BTTK,TF,tilt,22’ Powered Full Tilt,,22.0,22.0,c_channel,4.5,26.5,,0,0,0,,,2026-04-02T15:06:08.927916
TFJ2472BTTK,TF,tilt,24’ Powered Full Tilt,,24.0,24.0,c_channel,4.5,28.5,,0,0,0,,,2026-04-02T15:06:08.927952
THJ1852BSTK,TH,tilt,8’x83” Hydraulic Quick Tilt,,8.0,8.0,c_channel,4.5,12.5,,0,0,0,,,2026-04-02T15:06:08.620993
THJ2052BSTK,TH,tilt,20’x83” Hydraulic Quick Tilt,,20.0,20.0,c_channel,4.5,24.5,,0,0,0,,,2026-04-02T15:06:08.621033
THJ2252BSTK,TH,tilt,22’x83” Hydraulic Quick Tilt,,22.0,22.0,c_channel,4.5,26.5,,0,0,0,,,2026-04-02T15:06:08.621059
TJT2082BTTK,TJ,tilt,20’ HD Equipment Tilt 6” Channel,,20.0,20.0,c_channel,4.5,24.5,,0,0,0,,,2026-04-02T15:06:09.201325
TJT2282BTTK,TJ,tilt,22’ HD Equipment Tilt 6” Channel,,22.0,22.0,c_channel,4.5,26.5,,0,0,0,,,2026-04-02T15:06:09.201359
TJT2482BTTK,TJ,tilt,24’ HD Equipment Tilt 6” Channel,,24.0,24.0,c_channel,4.5,28.5,,0,0,0,,,2026-04-02T15:06:09.201383
TSJ2072BTTK,TS,tilt,20’x6” Channel Super-Wide Tilt,,20.0,20.0,c_channel,4.5,24.5,,0,0,0,,,2026-04-02T15:06:09.063992
TSJ2272BTTK,TS,tilt,22’x6” Channel Super-Wide Tilt,,22.0,22.0,c_channel,4.5,26.5,,0,0,0,,,2026-04-02T15:06:09.064029
TSJ2472BTTK,TS,tilt,24’x6” Channel Super-Wide Tilt,,24.0,24.0,c_channel,4.5,28.5,,0,0,0,,,2026-04-02T15:06:09.064053
U221031DSSK,U2,utility,10’x72” Sngl Axle Channel Utility,,10.0,10.0,c_channel,4.5,14.5,,0,0,0,,,2026-04-02T15:06:05.430156
U221231DSSK,U2,utility,12’x72” Sngl Axle Channel Utility,,12.0,12.0,c_channel,4.5,16.5,,0,0,0,,,2026-04-02T15:06:05.430203
U221431DSSK,U2,utility,14’x72” Sngl Axle Channel Utility,,14.0,14.0,c_channel,4.5,18.5,,0,0,0,,,2026-04-02T15:06:05.430230
U620831DSSK,U6,utility,08’x60” Sngl Axle Channel Utility,,8.0,8.0,c_channel,4.5,12.5,,0,0,0,,,2026-04-02T15:06:05.323097
U621031DSSK,U6,utility,10’x60” Sngl Axle Channel Utility,,10.0,10.0,c_channel,4.5,14.5,,0,0,0,,,2026-04-02T15:06:05.323166
U721031DSSK,U7,utility,10’x77” Sngl Axle Channel Utility,,10.0,10.0,c_channel,4.5,14.5,,0,0,0,,,2026-04-02T15:06:05.525073
U721231DSSK,U7,utility,12’x77” Sngl Axle Channel Utility,,12.0,12.0,c_channel,4.5,16.5,,0,0,0,,,2026-04-02T15:06:05.525104
U721431DSSK,U7,utility,14’x77” Sngl Axle Channel Utility,,14.0,14.0,c_channel,4.5,18.5,,0,0,0,,,2026-04-02T15:06:05.525122
U821231DSSK,U8,utility,12’x83” Sngl Axle Channel Utility,,12.0,12.0,c_channel,4.5,16.5,,0,0,0,,,2026-04-02T15:06:05.634366
U821431DSSK,U8,utility,14’x83” Sngl Axle Channel Utility,,14.0,14.0,c_channel,4.5,18.5,,0,0,0,,,2026-04-02T15:06:05.634405
UC21032CSSK,UC,utility,10’x60” Tndm Axle Channel Utility,,10.0,10.0,c_channel,4.5,14.5,,0,0,0,,,2026-04-02T15:06:05.764651
UC21232CSSK,UC,utility,12’x60” Tndm Axle Channel Utility,,12.0,12.0,c_channel,4.5,16.5,,0,0,0,,,2026-04-02T15:06:05.764689
UC21432CSSK,UC,utility,14’x60” Tndm Axle Channel Utility,,14.0,14.0,c_channel,4.5,18.5,,0,0,0,,,2026-04-02T15:06:05.764712
UK21232CSSK,UK,utility,12’x77” Tndm Axle Channel Utility,,12.0,12.0,c_channel,4.5,16.5,,0,0,0,,,2026-04-02T15:06:05.883454
UK21432CSSK,UK,utility,14’x77” Tndm Axle Channel Utility,,14.0,14.0,c_channel,4.5,18.5,,0,0,0,,,2026-04-02T15:06:05.883496
UK21632CSSK,UK,utility,16’x77” Tndm Axle Channel Utility,,16.0,16.0,c_channel,4.5,20.5,,0,0,0,,,2026-04-02T15:06:05.883522
UK21832CSSK,UK,utility,18’x77” Tndm Axle Channel Utility,,18.0,18.0,c_channel,4.5,22.5,,0,0,0,,,2026-04-02T15:06:05.883545
UL21232CSSK,UL,utility,12’x83” Tndm Axle Channel Utility,,12.0,12.0,c_channel,4.5,16.5,,0,0,0,,,2026-04-02T15:06:06.035602
UL21432CSSK,UL,utility,14’x83” Tndm Axle Channel Utility,,14.0,14.0,c_channel,4.5,18.5,,0,0,0,,,2026-04-02T15:06:06.035640
UL21632CSSK,UL,utility,16’x83” Tndm Axle Channel Utility,,16.0,16.0,c_channel,4.5,20.5,,0,0,0,,,2026-04-02T15:06:06.035664
UL21832CSSK,UL,utility,18’x83” Tndm Axle Channel Utility,,18.0,18.0,c_channel,4.5,22.5,,0,0,0,,,2026-04-02T15:06:06.035687
UL22032CSSK,UL,utility,20’x83” Tndm Axle Channel Utility,,20.0,20.0,c_channel,4.5,24.5,,0,0,0,,,2026-04-02T15:06:06.035710
UL22232CSSK,UL,utility,22’x83” Tndm Axle Channel Utility,,22.0,22.0,c_channel,4.5,26.5,,0,0,0,,,2026-04-02T15:06:06.035736
