order_number,lat,lng,order_utilization_pct
12604288,43.5319,-90.92134,4.5
12604292,41.38899,-99.62766,4.5
12604293,43.28987,-100.05772,4.5
12604294,44.05966,-93.22639,4.5
12604300,42.47751,-91.89721,9.1
12604301,44.93412,-97.09424,4.5
12604302,37.71051,-89.87919,4.5
12604303,43.18087,-101.70012,4.5
12604306,47.40975,-95.41597,4.5
12604307,38.46341,-86.30825,4.5
12604308,45.51546,-91.10284,4.5
12604312,45.09375,-83.50186,4.5
12604315,42.81851,-89.65181,4.5
12604318,48.80879,-95.34167,4.5
12604319,45.52723,-91.70977,4.5
12604320,43.44708,-88.6234,6.6
12604321,42.80282,-96.18092,4.5
12604326,45.10793,-91.48458,4.5
12604327,43.33233,-87.93299,6.6
12604330,44.39301,-91.3002,4.5
12604333,42.71275,-94.22645,4.5
12604334,43.61613,-96.96037,4.5
12604336,41.48195,-90.48895,4.5
12604337,41.45205,-97.39477,4.5
12604338,39.7287,-85.90435,4.5
12604340,43.50992,-88.54734,4.5
12604341,39.74205,-105.07123,4.5
12604345,46.93639,-97.16113,4.5
12604355,47.09744,-94.47416,4.5
12604356,44.94533,-91.39342,4.5
12604357,44.94533,-91.39342,4.5
12604359,47.02368,-95.09433,4.5
12604362,43.33659,-96.86755,4.5
12604365,43.02443,-96.07701,4.5
12604366,45.6746,-92.35754,4.5
12604368,38.65143,-90.53722,4.5
12604370,43.52125,-96.73587,4.5
12604374,40.95357,-98.41593,4.5
12604375,38.60337,-90.55847,4.5
12604377,38.6172,-90.44365,4.5
12604385,43.66703,-90.86166,4.5
12604387,46.43719,-94.78939,4.5
12604393,42.92815,-85.53629,4.5
12604394,42.54627,-89.09792,4.5
12604396,40.64814,-105.02155,4.5
12604398,,,4.5
12604399,43.59281,-96.58728,4.5
12604400,41.45205,-97.39477,4.5
12604403,43.07571,-96.79376,9.1
12604404,47.50985,-94.84921,4.5
12604405,42.88589,-88.01063,4.5
12604406,43.45563,-96.87489,4.5
12604407,40.6635,-84.92398,4.5
12604408,43.85081,-96.7327,4.5
12604409,38.53491,-90.06027,4.5
12604410,39.79757,-91.55577,4.5
12604412,43.37139,-92.11289,4.5
12604416,46.67629,-94.09726,4.5
12604418,44.99576,-84.67117,4.5
12604421,42.80365,-83.81683,4.5
12604426,40.44072,-91.43973,4.5
12604429,44.18444,-88.52778,4.5
12604436,47.23306,-93.51299,4.5
12604438,42.91782,-97.44702,4.5
12604440,44.84796,-92.6096,4.5
12604446,39.8665,-105.19875,4.5
12604450,46.00748,-94.38032,4.5
12604458,43.38838,-88.15895,4.5
12604459,39.5806,-104.95573,4.5
12604461,45.34396,-84.88903,4.5
12604464,45.63966,-94.08394,4.5
12604468,38.51097,-89.1412,4.5
12604469,42.78489,-84.58886,4.5
12604477,43.54445,-96.63812,4.5
12604484,38.75469,-89.66436,4.5
12604485,44.2973,-93.27414,4.5
12604486,45.27555,-85.23984,4.5
12604487,40.59092,-98.36599,4.5
12604489,41.21404,-105.85037,4.5
12604492,46.74151,-93.90262,4.5
12604494,44.47106,-103.9219,4.5
12604495,44.1209,-103.20562,4.5
12604500,43.42326,-96.68708,4.5
12604718,40.73493,-96.6428,13.2
12536690,41.55937,-95.91398,7.5
12604509,38.41749,-91.01438,4.5
12604529,45.77479,-108.58133,4.5
12604530,44.24279,-88.35928,4.5
12604532,44.20086,-88.33719,4.5
12604535,45.24448,-93.66219,4.5
12604537,44.83311,-91.5185,4.5
12604538,39.48282,-104.77957,4.5
12604633,43.08253,-82.49913,22.6
12604662,42.4916,-91.45333,29.1
12604663,42.47751,-91.89721,29.1
12604664,43.35741,-91.76494,35.5
12604665,40.44047,-90.65115,55.5
12604666,42.76363,-92.43775,32.8
12604669,42.68748,-91.93396,29.1
